window_idx,t0,t1,x0,y0,yaw0,xt,yt,yawt,v0,vt,dyaw_deg,xr_true,yr_true,xr_pred,yr_pred,err_x,err_y,err_dist
2239,11195,11209,-0.3802177906036377,-0.673699676990509,94.5172119140625,-0.26029691100120544,-0.30199506878852844,68.77863311767578,0.6907645463943481,0.6658430099487305,-25.73857879638672,0.36110519226861454,-0.14882329535343544,0.3164704740047455,-0.11822361499071121,-0.044634729623794556,0.030599676072597504,0.05411653411238694
2240,11200,11214,-0.36183616518974304,-0.5456143021583557,80.4797134399414,-0.23192349076271057,-0.18883460760116577,76.53321075439453,0.5933735370635986,0.5548648834228516,-3.946502685546875,0.37335294566375987,-0.06911317811603965,0.31183061003685,-0.1522754430770874,-0.061522334814071655,-0.08316226303577423,0.10344544298424187
2241,11205,11219,-0.3041181266307831,-0.41484805941581726,64.3454818725586,-0.1682320535182953,-0.07792845368385315,57.316287994384766,0.5737200975418091,0.5147089958190918,-7.029193878173828,0.3625374156366408,0.023376651942056792,0.36565855145454407,-0.13721489906311035,0.0031211376190185547,-0.16059154272079468,0.16062186991030106
2242,11210,11224,-0.2554176449775696,-0.28694531321525574,71.35871887207031,-0.0731106624007225,0.01836911030113697,43.377342224121094,0.5256927013397217,0.5345876812934875,-27.98137664794922,0.34757010707281455,-0.07515151308419377,0.3351261019706726,-0.1866905391216278,-0.012444019317626953,-0.11153902858495712,0.11223104968970643
2243,11215,11229,-0.2187672257423401,-0.15669430792331696,73.8510971069336,0.04533052816987038,0.0891442522406578,29.907773971557617,0.6265550851821899,0.6563770771026611,-43.943321228027344,0.3095930028088426,-0.18530080481695999,0.31629130244255066,-0.09884697943925858,0.006698310375213623,0.08645383268594742,0.0867129318381779
2244,11220,11234,-0.14375849068164825,-0.04838632047176361,55.0904541015625,0.17935368418693542,0.1268812119960785,14.88129711151123,0.6190734505653381,0.6648563146591187,-40.20915603637695,0.32864074098503304,-0.16466772142704275,0.3431396782398224,-0.09254855662584305,0.01449894905090332,0.07211916893720627,0.07356217813369849
2245,11225,11239,-0.05811797082424164,0.02964005060493946,40.97705841064453,0.3214842975139618,0.12955701351165771,0.2429104596376419,0.5306926965713501,0.6746808886528015,-40.73414611816406,0.35211037982703064,-0.17349222196187036,0.324593186378479,-0.17964154481887817,-0.027517199516296387,-0.006149321794509888,0.028195929276264266
2246,11230,11244,0.06252513825893402,0.09583637118339539,26.885793685913086,0.4434959590435028,0.1006011962890625,-14.865005493164062,0.5451651811599731,0.5700834393501282,-41.75080108642578,0.34194629551215777,-0.16803039066455558,0.36824485659599304,-0.1489870548248291,0.026298552751541138,0.019043341279029846,0.03246941212734216
2247,11235,11249,0.19881615042686462,0.12903694808483124,11.519998550415039,0.5746661424636841,0.03617915138602257,-28.302717208862305,0.5463384985923767,0.5737578272819519,-39.822715759277344,0.349733889811528,-0.16604816333608768,0.3810116946697235,-0.17958855628967285,0.03127780556678772,-0.013540387153625488,0.034082887280038984
2248,11240,11254,0.3433133363723755,0.12719222903251648,-2.399228811264038,0.6817102432250977,-0.059594329446554184,-44.398643493652344,0.6755583882331848,0.5627685785293579,-41.99941635131836,0.3459195634720572,-0.17245678297740258,0.3424440622329712,-0.19443237781524658,-0.003475487232208252,-0.021975591778755188,0.022248722334725992
2249,11245,11259,0.4828174412250519,0.08564019948244095,-17.10002326965332,0.7670366168022156,-0.18739838898181915,-58.04280090332031,0.6903927326202393,0.7384122014045715,-40.942779541015625,0.35193913227853607,-0.17739634098802975,0.3516959547996521,-0.1924712061882019,-0.00024318695068359375,-0.015074864029884338,0.015076825442130829
2250,11250,11264,0.6086025834083557,0.011994579806923866,-31.177907943725586,0.8110963106155396,-0.3279866874217987,-74.01922607421875,0.6968808770179749,0.6840956807136536,-42.84131622314453,0.34925366223047766,-0.18604527596974985,0.3557802736759186,-0.19679918885231018,0.00652661919593811,-0.010753914713859558,0.012579484878235393
2251,11255,11269,0.6959764361381531,-0.07348907738924026,-45.28518295288086,0.8456263542175293,-0.45950159430503845,-75.29887390136719,0.5545560717582703,0.6070427298545837,-30.013690948486328,0.37959773785949974,-0.16524625369677431,0.38146257400512695,-0.2003839910030365,0.0018648505210876465,-0.03513774275779724,0.0351871941703105
2252,11260,11274,0.7768523693084717,-0.20841246843338013,-61.91523361206055,0.88498854637146,-0.6159295439720154,-75.82545471191406,0.60978764295578,0.6364865899085999,-13.910221099853516,0.41044084224513805,-0.09644643416146305,0.40357843041419983,-0.20026066899299622,-0.0068624019622802734,-0.10381423681974411,0.10404080126160997
